location,lat,long
Wakkanai,45.415,141.678888888889
Rumoi,43.9461111111111,141.631944444444
Asahikawa,43.7569444444444,142.372222222222
Abashiri,44.0177777777778,144.279722222222
Sapporo,43.06,141.328611111111
Iwamizawa,43.2116666666667,141.785833333333
Obihiro,42.9222222222222,143.211944444444
Kushiro,42.9858333333333,144.377777777778
Kushiro,42.9530555555556,144.4375
Nemuro,43.3305555555556,145.585555555556
Muroran,42.3116666666667,140.975277777778
Muroran,42.3236111111111,140.97
Urakawa,42.1625,142.776944444444
Esashi,41.8672222222222,140.123888888889
Hakodate,41.8166666666667,140.754166666667
Kutchan,42.9011111111111,140.758055555556
Mombetsu,44.345,143.355277777778
Hiroo,42.2944444444444,143.316666666667
Shinjo,38.7569444444444,140.312222222222
Aomori,40.8216666666667,140.768888888889
Hachinohe,40.5272222222222,141.521666666667
Akita,39.7175,140.099166666667
Morioka,39.6983333333333,141.166111111111
Miyako,39.6469444444444,141.965833333333
Sakata,38.9086111111111,139.843333333333
Yamagata,38.2555555555556,140.346111111111
Sendai,38.2619444444444,140.896666666667
Sendai,38.2622222222222,140.896666666667
Fukushima,37.7594444444444,140.470833333333
Shirakawa,37.1316666666667,140.215
Onahama,36.9475,140.903333333333
Wajima,37.3913888888889,136.895277777778
Aikawa,38.0291666666667,138.24
Niigata,37.8936111111111,139.018888888889
Kanazawa,36.5897222222222,136.634722222222
Toyama,36.7094444444445,137.2025
Nagano,36.6627777777778,138.1925
Takada,37.1066666666667,138.246666666667
Utsunomiya,36.5497222222222,139.868333333333
Fukui,36.0555555555556,136.2225
Takayama,36.1561111111111,137.253333333333
Matsumoto,36.2466666666667,137.970555555556
Maebashi,36.4052777777778,139.060555555556
Kumagaya,36.15,139.38
Mito,36.3811111111111,140.468055555556
Tsuruga,35.6533333333333,136.062222222222
Gifu,35.4002777777778,136.7625
Nagoya,35.1677777777778,136.965555555556
Nagoya,35.1683333333333,136.964722222222
Iida,35.5233333333333,137.8225
Kofu,35.6672222222222,138.553888888889
Choshi,35.7397222222222,140.857222222222
Tsu,34.7341666666667,136.519722222222
Hamamatsu,34.7538888888889,137.711666666667
Shizuoka,34.9761111111111,138.403888888889
Tokyo,35.6916666666667,139.751111111111
Owase,34.0697222222222,136.193333333333
Yokohama,35.4397222222222,139.6525
Tateyama,34.9869444444444,139.865277777778
Oshima,34.7494444444444,139.363055555556
Miyakejima,34.1238888888889,139.521388888889
Hachijojima,33.1216666666667,139.779166666667
Saigo,36.2044444444444,133.333888888889
Matsue,35.4572222222222,133.065555555556
Yonago,35.4347222222222,133.338611111111
Tottori,35.4877777777778,134.238333333333
Tottori,35.5308333333333,134.199444444444
Toyooka,35.5358333333333,134.822222222222
Maizuru,35.4502777777778,135.318055555556
Hamada,34.8966666666667,132.070555555556
Kyoto,35.0147222222222,135.732777777778
Hikone,35.2761111111111,136.243888888889
Shimonoseki,33.9486111111111,130.926111111111
Hiroshima,34.3986111111111,132.462777777778
Okayama,34.6858333333333,133.925277777778
Kobe,34.6969444444444,135.212777777778
Osaka,34.6822222222222,135.519166666667
Sumoto,34.3383333333333,134.905
Wakayama,34.2288888888889,135.164166666667
Shionomisaki,33.4502777777778,135.757222222222
Nara,34.6938888888889,135.827777777778
Izuhara,34.1977777777778,129.291944444444
Izuhara,34.1533333333333,129.222777777778
Fukuoka,33.5822222222222,130.376388888889
Saga,33.2663888888889,130.305277777778
Oita,33.2361111111111,131.619166666667
Nagasaki,32.7341666666667,129.868055555556
Kumamoto,32.8136111111111,130.706944444444
Nobeoka,32.5819444444444,131.658055555556
Kagoshima,31.555,130.548055555556
Miyazaki,31.9383333333333,131.414166666667
Yakushima,30.3855555555556,130.659166666667
Yakushima,30.3830555555556,130.659166666667
Tanegashima,30.7202777777778,130.9825
Fukue,32.6947222222222,128.826944444444
Matsuyama,33.8436111111111,132.7775
Takamatsu,34.3180555555556,134.054444444444
Uwajima,33.2277777777778,132.553055555556
Kochi,33.5680555555556,133.549444444444
Kochi,33.5683333333333,133.549166666667
Tokushima,34.0677777777778,134.573333333333
Naze,28.3797222222222,129.495555555556
Naze/Funchatoge,28.3941666666667,129.552777777778
Yonagunijima,24.4666666666667,123.010555555556
Iriomotejima,24.4277777777778,123.765555555556
Ishigakijima,24.3366666666667,124.164444444444
Miyakojima,24.7944444444444,125.278333333333
Kumejima,26.3380555555556,126.803888888889
Naha,26.2072222222222,127.687222222222
Nago,26.5941666666667,127.966388888889
Minamidaitojima,25.8288888888889,131.228611111111
